index	reason	de	hsb
321	identical	NcFTPName	NcFTPName
322	identical	PineGenericName	PineGenericName
324	identical	SILCName	SILCName
325	identical	SlrnGenericName	SlrnGenericName
327	identical	w3mName	w3mName
328	identical	WiresharkName	WiresharkName
330	identical	XChatGenericName	XChatGenericName
332	identical	XFMailName	XFMailName
335	identical	AleVTName	AleVTName
338	identical	amsGenericName	amsGenericName
340	identical	amSynthGenericName	amSynthGenericName
342	identical	ArdourGenericName	ArdourGenericName
344	identical	AudacityGenericName	AudacityGenericName
346	identical	AumixGenericName	AumixGenericName
349	identical	AviplayName	AviplayName
350	identical	Broadcast 2000GenericName	Broadcast 2000GenericName
351	length_ratio	Audio/Video-OberflächeName	IDE za awdijo a widejoName
352	identical	DJPlayGenericName	DJPlayGenericName
354	identical	EcaMegaPedalGenericName	EcaMegaPedalGenericName
356	identical	EnjoyMPEGGenericName	EnjoyMPEGGenericName
358	identical	FreeBirthGenericName	FreeBirthGenericName
360	identical	FreqTweakGenericName	FreqTweakGenericName
362	identical	gAlanGenericName	gAlanGenericName
364	identical	GripGenericName	GripGenericName
366	identical	GTVName	GTVName
367	identical	HydrogenName	HydrogenName
372	identical	JazzGenericName	JazzGenericName
374	length_ratio	Zweikanal-VU-MeterName	Dual Channel VU- MeterName
375	identical	MeterbridgeName	MeterbridgeName
376	identical	MixxxName	MixxxName
379	identical	MPlayerName	MPlayerName
380	identical	MpegTVName	MpegTVName
381	identical	MusEGenericName	MusEGenericName
384	identical	OgleGenericName	OgleGenericName
385	length_ratio	MOV-Video-AbspielerName	Wothrawak za wideja MOVName
386	identical	OQTPlayerName	OQTPlayerName
387	identical	QJackCtlGenericName	QJackCtlGenericName
389	identical	QSynthGenericName	QSynthGenericName
391	identical	RealPlayerName	RealPlayerName
392	identical	reZoundName	reZoundName
393	identical	SlabGenericName	SlabGenericName
395	identical	SweepName	SweepName
396	identical	vkeybdGenericName	vkeybdGenericName
399	identical	XawTVName	XawTVName
400	identical	XCamGenericName	XCamGenericName
404	identical	XMMSGenericName	XMMSGenericName
407	identical	XMovieName	XMovieName
408	identical	ZynaddsubFXGenericName	ZynaddsubFXGenericName
410	identical	AbiWordGenericName	AbiWordGenericName
412	identical	Acrobat ReaderGenericName	Acrobat ReaderGenericName
414	identical	ApplixGenericName	ApplixGenericName
416	identical	DiaGenericName	DiaGenericName
423	identical	GnuCashGenericName	GnuCashGenericName
425	identical	GnumericGenericName	GnumericGenericName
427	identical	GuppiName	GuppiName
428	identical	IcalGenericName	IcalGenericName
430	identical	LyXName	LyXName
431	identical	MrProjectGenericName	MrProjectGenericName
434	identical	PlanGenericName	PlanGenericName
437	identical	PybliographicName	PybliographicName
438	identical	ScribusGenericName	ScribusGenericName
440	identical	WordPerfect 2000Name	WordPerfect 2000Name
441	identical	WordPerfectName	WordPerfectName
442	identical	xaccGenericName	xaccGenericName
445	identical	XsLiteName	XsLiteName
448	identical	EditXResGenericName	EditXResGenericName
449	length_ratio	X-Ressourcen-EditorName	Wobdźěłar za X- resursyName
451	identical	TerminalName	TerminalName
453	identical	ProcinfoGenericName	ProcinfoGenericName
455	identical	ouR eXtended Virtual TerminalName	ouR eXtended Virtual TerminalName
456	identical	RXVTName	RXVTName
459	identical	WineGenericName	WineGenericName
461	identical	X osviewGenericName	X osviewGenericName
464	identical	TuxGenericName	TuxGenericName
470	identical	GKrellMGenericName	GKrellMGenericName
473	length_ratio	SysteminformationenName	Nastroj za systemowu informacijuName
474	identical	OClockGenericName	OClockGenericName
477	length_ratio	SystemprotokollbetrachterName	Přehladowar za systemowe protokoleName
497	length_ratio	Menü-AktualisierungName	Nastroj za aktualizowanje menijowName
513	identical	SCSIComment	SCSIComment
527	identical	OpenGLComment	OpenGLComment
531	identical	PCIComment	PCIComment
535	duplicate	Informationen zum ProzessorName	Informacija wo procesoruName
537	length_ratio	Angeschlossene USB-GeräteName	USB- graty, kiž su na tutym kompjuteru přizamknjeneName
543	identical	KonquerorName	KonquerorName
549	length_ratio	Konqueror-SchnellstartComment	KDED- modul za startowanje konqueroraComment
554	identical	Midnight CommanderName	Midnight CommanderName
568	identical	ProxyComment	ProxyComment
570	length_ratio	Windows-FreigabenComment	Hromadźe z Windowsami wužiwaneComment
613	length_ratio	Hier können Sie Einstellungen zum Werbefilter vornehmenName_BAR_Konqeuror settings relevant to both web browsing and file management.	AdBlocK- filtry konquerora připrawićName
615	identical	Java & JavaScriptComment	Java & JavaScriptComment
621	length_ratio	Shell-Befehl-ErweiterungComment	zašćěpka za terminalowe přikazyComment
634	identical	TestName	TestName
644	length_ratio	Drucksystem-BrowserName	Browser za ćišćenski systemName
646	length_ratio	Web-NavigationsbereichName	Modul za browserowy bóčny pasName
663	identical	KWriteName	KWriteName
664	length_ratio	LesezeichenleisteName	Nastrojowy pas za lubuškiName
691	length_ratio	Einfache Verknüpfung zu Datei oder Ordner ...Comment	Comment
692	length_ratio	Geben Sie den Pfad zu der Datei oder dem Ordner ein:Name	Name
706	length_ratio	Anbieter von Open-Collaboration-Diensten verwaltenName	Name
708	length_ratio	Ein Atemzug frische LuftName	Name
709	identical	OxygenComment	OxygenComment
725	identical	CompizName	CompizName
727	identical	OpenboxName	OpenboxName
751	length_ratio	Eine Anwendung hat neue globale Tastenkürzel definiert.Name	Name
753	length_ratio	Der Benutzer hat ein globales Tastenkürzel ausgelöst.Name	Name
765	length_ratio	Systemeinstellungen-ModuleName	Module za kontrolny centrumName
778	identical	(9) KernelName	(9) KernelName
781	identical	ScrollkeeperName	ScrollkeeperName
789	length_ratio	KDE-BenutzerhandbuchName	Přiručka za wužiwarja KDEName
798	identical	KManPartDescription	KManPartDescription
801	length_ratio	Überwacht das Netzwerk und aktualisiert Ordnerauflistungen des Protokolls„ network: /“ Name	Name
804	length_ratio	Samba-FreigabenName	Zhromadne zapiski a graty wot SambaName
817	length_ratio	Ausführbare Datei (Microsoft Windows)Name	Name
822	identical	KNetAttachGenericName	KNetAttachGenericName
859	identical	KNotifyComment	KNotifyComment
861	length_ratio	Passwort-ZwischenspeicherungComment	KDED- modul za hesłaComment
868	identical	BeOSComment	BeOSComment
874	identical	KeramikComment	KeramikComment
881	identical	CDEComment	CDEComment
884	length_ratio	Eingebauter Stil ähnlich zu Clearlooks von GNOMEName	Name
886	length_ratio	Stil, der das GTK+-Designmodul verwendetName	Name
888	length_ratio	Stil, der das Apple-Erscheinungsbild nachahmtName	Name
889	identical	Motif PlusComment	Motif PlusComment
891	identical	MotifComment	MotifComment
894	length_ratio	Eingebauter Stil ähnlich zu Plastik aus KDE 3Name	Name
895	identical	PlatinumComment	PlatinumComment
897	identical	SGIComment	SGIComment
899	identical	MS Windows 9xComment	MS Windows 9xComment
902	length_ratio	Stil, der das Erscheinungsbild von Windows Vista nachahmtName	Name
904	length_ratio	Stil, der das Erscheinungsbild von Windows XP nachahmtName	Name
907	length_ratio	Zeitzonen-DienstComment	KDE Time Zone DaemonComment
909	identical	kuiserverComment	kuiserverComment
916	length_ratio	http://www.chemie.de/tools/acronym.php3?language=eacronym=\\\\{@}Name	http: // www. chemie. de/ tools/ acronym. php3? language=eacronym=\\\\ {@} Name
917	identical	AlexaQuery	AlexaQuery
918	length_ratio	http://info.alexa.com/search?q=\\\\{@}Name	http: // info. alexa. com/ search? q=\\\\ {@} Name
920	length_ratio	http://info.alexa.com/data/details?url=\\\\{@}Name	http: // info. alexa. com/ data/ details? url=\\\\ {@} Name
922	length_ratio	http://www.alltheweb.com/search?exec=FAST+Searchtype=allquery=\\\\{@}cat=webName	http: // www. alltheweb. com/ search? exec=FAST+Searchtype=allquery=\\\\ {@} cat=webName
923	identical	AltaVistaQuery	AltaVistaQuery
924	length_ratio	http://www.altavista.com/cgi-bin/query?pg=qkl=XXstype=stextq=\\\\{@}Name	http: // www. altavista. com/ cgi- bin/ query? pg=qkl=XXstype=stextq=\\\\ {@} Name
925	identical	All Music GuideQuery	All Music GuideQuery
926	length_ratio	http://www.allmusic.com/cg/amg.dll?p=amgopt1=1sql=\\\\{@}Name	http: // www. allmusic. com/ cg/ amg. dll? p=amgopt1=1sql=\\\\ {@} Name
928	length_ratio	http://www.kde-apps.org/content/search.php?search=Searchname=\\\\{@}Name	http: // www. kde- apps. org/ content/ search. php? search=Searchname=\\\\ {@} Name
929	identical	AustroNautQuery	AustroNautQuery
930	length_ratio	http://austronaut.at/page.php?begriff=\\\\{@}wo=atName	http: // austronaut. at/ page. php? begriff=\\\\ {@} wo=atName
932	length_ratio	http://www.backports.org/package.php?search=\\\\{@}Name	http: // www. backports. org/ package. php? search=\\\\ {@} Name
934	length_ratio	http://bugs.kde.org/buglist.cgi?quicksearch=\\\\{@}Name	http: // bugs. kde. org/ show_ bug. cgi? id=\\\\ {@} Name
936	length_ratio	https://bugs.kde.org/show_bug.cgi?id=\\\\{@}Name	http: // bugs. kde. org/ show_ bug. cgi? id=\\\\ {@} Name
938	length_ratio	http://www.qrz.com/database?callsign=\\\\{@}Name	http: // www. qrz. com/ database? callsign=\\\\ {@} Name
940	length_ratio	http://www.google.com/search?q=allintitle%3A\\\\{@}+world+fact+book+site%3Awww.cia.govie=UTF-8btnI=I%27m+Feeling+LuckyName	http: // www. google. com/ search? q=allintitle% 3A\\\\ {@} +world+fact+book+site% 3Awww. cia. govie=UTF- 8btnI=I% 27m+Feeling+LuckyName
942	length_ratio	http://citeseer.ist.psu.edu/cs?q=\\\\{@}submit=Search+Documentscs=1Name	http: // citeseer. ist. psu. edu/ cs? q=\\\\ {@} submit=Search+Documentscs=1Name
944	length_ratio	"http://search.cpan.org/search?mode=\\\\{mode,2,""dist""}query=\\\\{query,q,1}Name"	"http: // search. cpan. org/ search? mode=\\\\ {mode, 2, ""dist""} query=\\\\ {query, q, 1} Name"
946	length_ratio	http://tug.ctan.org/cgi-bin/search.py?metadataSearch=\\\\{@}metadataSearchSubmit=SearchName	http: // tug. ctan. org/ cgi- bin/ search. py? metadataSearch=\\\\ {@} metadataSearchSubmit=SearchName
948	length_ratio	http://ctan.org/cgi-bin/filenameSearch.py?filename=\\\\{@}Search=SearchName	http: // ctan. org/ cgi- bin/ filenameSearch. py? filename=\\\\ {@} Search=SearchName
950	length_ratio	http://bugs.debian.org/\\\\{@}Name	http: // bugs. debian. org /\\\\ {@} Name
952	length_ratio	http://www.dict.cc/?s=\\\\{@}Name	http: // www. dict. cc /? s=\\\\ {@} Name
954	length_ratio	http://dict.leo.org/?lp=frdesearch=\\\\{@}Name	http: // dict. leo. org /? lp=frdesearch=\\\\ {@} Name
955	length_ratio	Debian-PaketsucheQuery	Pytanje za Debian- pakćikamiQuery
956	length_ratio	http://packages.debian.org/\\\\{@}Name	http: // packages. debian. org /\\\\ {@} Name
958	length_ratio	http://www.cnrtl.fr/definition/\\\\{@}Name	http: // www. dict. cc /? s=\\\\ {@} Name
960	length_ratio	http://search.dmoz.org/cgi-bin/search?search=\\\\{@}Name	http: // search. dmoz. org/ cgi- bin/ search? search=\\\\ {@} Name
962	length_ratio	http://www.docbook.org/tdg/en/html/\\\\{1}.htmlName	http: // www. docbook. org/ tdg/ en/ html /\\\\ {1}. htmlName
964	length_ratio	http://dx.doi.org/\\\\{@}Name	http: // dx. doi. org /\\\\ {@} Name
967	length_ratio	http://www.wordreference.com/es/translation.asp?tranword=\\\\{@}Name	http: // www. wordreference. com/ es/ translation. asp? tranword=\\\\ {@} Name
969	length_ratio	http://www.wordreference.com/fr/Translation.asp?enfr=\\\\{@}Name	http: // www. wordreference. com/ fr/ Translation. asp? enfr=\\\\ {@} Name
971	length_ratio	http://www.wordreference.com/it/translation.asp?enit=\\\\{@}Name	http: // www. wordreference. com/ it/ translation. asp? enit=\\\\ {@} Name
973	length_ratio	http://www.wordreference.com/es/en/translation.asp?spen=\\\\{@}Name	http: // www. wordreference. com/ es/ en/ translation. asp? spen=\\\\ {@} Name
975	length_ratio	http://www.ethicle.com/search.php?q=\\\\{@}Name	http: // info. alexa. com/ search? q=\\\\ {@} Name
976	identical	ExciteQuery	ExciteQuery
977	length_ratio	http://search.excite.com/search.gw?search=\\\\{@}Name	http: // search. excite. com/ search. gw? search=\\\\ {@} Name
978	identical	FeedsterQuery	FeedsterQuery
979	length_ratio	http://www.feedster.com/search.php?q=\\\\{@}ie=UTF-8oe=UTF-8Name	http: // www. feedster. com/ search. php? q=\\\\ {@} ie=UTF- 8oe=UTF- 8Name
981	length_ratio	http://foldoc.doc.ic.ac.uk/foldoc/foldoc.cgi?query=\\\\{@}Name	http: // foldoc. doc. ic. ac. uk/ foldoc/ foldoc. cgi? query=\\\\ {@} Name
984	length_ratio	http://www.wordreference.com/fr/en/translation.asp?fren=\\\\{@}Name	http: // www. wordreference. com/ fr/ en/ translation. asp? fren=\\\\ {@} Name
985	identical	FreeDBQuery	FreeDBQuery
986	length_ratio	http://www.freedb.org/freedb_search.php?words=\\\\{@}Name	http: // www. freedb. org/ freedb_ search. php? words=\\\\ {@} Name
987	identical	FreshmeatQuery	FreshmeatQuery
988	length_ratio	http://freshmeat.net/search/?q=\\\\{@}Name	http: // freshmeat. net/ search /? q=\\\\ {@} Name
989	identical	FroogleQuery	FroogleQuery
990	length_ratio	http://froogle.google.com/froogle?q=\\\\{@}Name	http: // froogle. google. com/ froogle? q=\\\\ {@} Name
992	length_ratio	http://directory.fsf.org/search/?query=\\\\{@}Name	http: // directory. fsf. org/ search /? query=\\\\ {@} Name
994	length_ratio	"http://www.google.com/search?as_q=\\\\{all,@}num=\\\\{num,""10""}btnG=Google+Searchas_epq=\\\\{exact,""""}as_oq=\\\\{any,""""}as_eq=\\\\{without,""""}lr=\\\\{lang,""""}as_ft=\\\\{ft,""i""}as_filetype=\\\\{filetype,""""}as_qdr=\\\\{date,""all""}as_occt=\\\\{occ,""any""}as_dt=\\\\{siteop,""i""}as_sitesearch=\\\\{site}safe=\\\\{safe,""active""}ie=UTF-8oe=UTF-8Name"	"http: // www. google. com/ search? as_ q=\\\\ {all, @} num=\\\\ {num, ""10""} btnG=Google+Searchas_ epq=\\\\ {exact, """"} as_ oq=\\\\ {any,""""} as_ eq=\\\\ {without, """"} lr=\\\\ {lang,""""} as_ ft=\\\\ {ft, ""i""} as_ filetype=\\\\ {filetype, """"} as_ qdr=\\\\ {date, ""all""} as_ occt=\\\\ {occ, ""any""} as_ dt=\\\\ {siteop, ""i""} as_ sitesearch=\\\\ {site} safe=\\\\ {safe, ""active""} ie=UTF- 8oe=UTF- 8Name"
995	identical	GoogleQuery	GoogleQuery
996	length_ratio	http://www.google.de/search?q=\\\\{@}ie=UTF-8oe=UTF-8Name	http: // www. google. com/ search? q=\\\\ {@} ie=UTF- 8oe=UTF- 8Name
998	length_ratio	http://groups.google.com/groups?oi=djqas_q=\\\\{@}Name	http: // groups. google. com/ groups? oi=djqas_ q=\\\\ {@} Name
999	length_ratio	Google-BildersucheQuery	Google pytanje za wobrazamiQuery
1000	length_ratio	http://images.google.com/images?q=\\\\{@}Name	http: // images. google. com/ images? q=\\\\ {@} Name
1002	length_ratio	http://www.google.com/search?q=\\\\{@}btnI=I%27m+Feeling+Luckyie=UTF-8oe=UTF-8Name	http: // www. google. com/ search? q=\\\\ {@} btnI=I% 27m+Feeling+Luckyie=UTF- 8oe=UTF- 8Name
1004	length_ratio	http://www.google.com/search?q=movie:\\\\{@}ie=UTF-8oe=UTF-8Name	http: // www. google. com/ search? q=movie:\\\\ {@} ie=UTF- 8oe=UTF- 8Name
1006	length_ratio	http://news.google.com/news?q=\\\\{@}ie=UTF-8oe=UTF-8Name	http: // news. google. com/ news? q=\\\\ {@} ie=UTF- 8oe=UTF- 8Name
1007	identical	GracenoteQuery	GracenoteQuery
1008	length_ratio	http://www.gracenote.com/music/search-adv.html?q=\\\\{@}Name	http: // www. gracenote. com/ music/ search- adv. html? q=\\\\ {@} Name
1010	length_ratio	http://ec.grec.net/cgi-bin/AppDLC3.exe?APP=CERCADLCGECART=\\\\{@}Name	http: // www. grec. net/ cgibin/ lexicx. pgm? GECART=\\\\ {@} Name
1011	identical	HotbotQuery	HotbotQuery
1012	length_ratio	http://hotbot.lycos.com/?MT=\\\\{@}SM=MCDV=0LG=anyDC=10DE=2Name	http: // hotbot. lycos. com /? MT=\\\\ {@} SM=MCDV=0LG=anyDC=10DE=2Name
1014	length_ratio	http://www.hyperdictionary.com/search.aspx?define=\\\\{@}Name	http: // www. hyperdictionary. com/ search. aspx? define=\\\\ {@} Name
1016	length_ratio	http://www.hyperdictionary.com/search.aspx?Dict=Tdefine=\\\\{@}Name	http: // www. hyperdictionary. com/ search. aspx? Dict=Tdefine=\\\\ {@} Name
1018	length_ratio	http://www.iblist.com/search/search.php?item=\\\\{@}submit=SearchName	http: // www. iblist. com/ search/ search. php? item=\\\\ {@} submit=SearchName
1019	length_ratio	Internet-FilmdatenbankQuery	Internetowa datowa baza filmowQuery
1020	length_ratio	http://imdb.com/Find?\\\\{@}Name	http: // imdb. com/ Find?\\\\ {@} Name
1022	length_ratio	http://www.wordreference.com/it/en/translation.asp?iten=\\\\{@}Name	http: // www. wordreference. com/ it/ en/ translation. asp? iten=\\\\ {@} Name
1024	length_ratio	http://www.ask.com/main/askJeeves.asp?origin=0qSource=4site_name=Jeevesmetasearch=yesask=\\\\{@}Name	http: // www. ask. com/ main/ askJeeves. asp? origin=0qSource=4site_ name=Jeevesmetasearch=yesask=\\\\ {@} Name
1025	identical	KataTudoQuery	KataTudoQuery
1026	length_ratio	http://www.katatudo.com.br/busca/resultado.php?q=\\\\{@}onde=b=BuscarName	http: // www. katatudo. com. br/ busca/ resultado. php? q=\\\\ {@} onde=b=BuscarName
1028	length_ratio	http://api.kde.org/classmapper.php?class=\\\\{@}Name	http: // api. kde. org/ classmapper. php? class=\\\\ {@} Name
1030	length_ratio	http://websvn.kde.org/\\\\{@}Name	http: // websvn. kde. org /\\\\ {@} Name
1032	length_ratio	http://dict.leo.org/?search=\\\\{@}Name	http: // dict. leo. org /? search=\\\\ {@} Name
1033	identical	LycosQuery	LycosQuery
1034	length_ratio	http://www.lycos.com/cgi-bin/pursuit?cat=dirquery=\\\\{@}Name	http: // www. lycos. com/ cgi- bin/ pursuit? cat=dirquery=\\\\ {@} Name
1036	length_ratio	http://www.mamma.com/Mamma?lang=1timeout=4qtype=0query=\\\\{@}Name	http: // www. mamma. com/ Mamma? lang=1timeout=4qtype=0query=\\\\ {@} Name
1037	identical	MetaCrawlerQuery	MetaCrawlerQuery
1038	length_ratio	http://search.metacrawler.com/crawler?general=\\\\{@}method=0cat=Webtarget=metaworldredirect=webrpp=20hpe=10region=0timeout=0sort=0format=beta99theme=classicrefer=mc-searchrefer=mc-searchName	http: // search. metacrawler. com/ crawler? general=\\\\ {@} method=0cat=Webtarget=metaworldredirect=webrpp=20hpe=10region=0timeout=0sort=0format=beta99theme=classicrefer=mc- searchrefer=mc- searchName
1040	length_ratio	http://msdn.microsoft.com/library/shared/searchtab/searchHandoff.asp?handoffurl=%2Fisapi%2Fgosearch.asp%3FTARGET%3D%2Fus%2Fdev%2Fdefault.aspstcfg=d%3A%2Fhttp%2Fcnfg.xmlqu=\\\\{@}btnSearch=GOName	http: // msdn. microsoft. com/ library/ shared/ searchtab/ searchHandoff. asp? handoffurl=% 2Fisapi% 2Fgosearch. asp% 3FTARGET% 3D% 2Fus% 2Fdev% 2Fdefault. aspstcfg=d% 3A% 2Fhttp% 2Fcnfg. xmlqu=\\\\ {@} btnSearch=GOName
1042	length_ratio	http://multitran.ru/c/m.exe?l1=3s=\\\\{@}Name	http: // multitran. ru/ c/ m. exe? l1=3s=\\\\ {@} Name
1044	length_ratio	http://multitran.ru/c/m.exe?l1=1l2=2s=\\\\{@}Name	http: // multitran. ru/ c/ m. exe? l1=1l2=2s=\\\\ {@} Name
1046	length_ratio	http://multitran.ru/c/m.exe?l1=5s=\\\\{@}Name	http: // multitran. ru/ c/ m. exe? l1=5s=\\\\ {@} Name
1048	length_ratio	http://multitran.ru/c/m.exe?l1=4s=\\\\{@}Name	http: // multitran. ru/ c/ m. exe? l1=4s=\\\\ {@} Name
1050	length_ratio	http://multitran.ru/c/m.exe?l1=23s=\\\\{@}Name	http: // multitran. ru/ c/ m. exe? l1=23s=\\\\ {@} Name
1052	length_ratio	http://multitran.ru/c/m.exe?l1=24s=\\\\{@}Name	http: // multitran. ru/ c/ m. exe? l1=24s=\\\\ {@} Name
1053	identical	NetcraftQuery	NetcraftQuery
1054	length_ratio	http://uptime.netcraft.com/up/graph?site=\\\\{@}Name	http: // uptime. netcraft. com/ up/ graph? site=\\\\ {@} Name
1055	length_ratio	TelefonbuchsucheQuery	Prowider za pytanje w telefonskich knihachQuery
1056	length_ratio	http://www.detelefoongids.nl/tginl.dll?action=whitetype=searchname=\\\\{1}city=\\\\{2}Name	http: // www. detelefoongids. nl/ tginl. dll? action=whitetype=searchname=\\\\ {1} city=\\\\ {2} Name
1057	length_ratio	Teletekst-SucheQuery	Prowider za pytanje w teleteksćeQuery
1058	length_ratio	http://teletekst.nos.nl/gif/\\\\{@}-01.htmlName	http: // teletekst. nos. nl/ gif /\\\\ {@} - 01. htmlName
1060	length_ratio	http://pgp.dtype.org:11371/pks/lookup?search=\\\\{@}op=vindexName	http: // pgp. dtype. org: 11371/ pks/ lookup? search=\\\\ {@} op=vindexName
